Proteome ID	Organism	Organism ID	Last modified
UP000000248	Dichelobacter nodosus (strain VCS1703A)	246195	2015-09-25
UP000006859	Dickeya dadantii (strain 3937) (Erwinia chrysanthemi (strain 3937))	198628	2015-09-18
UP000024387	Dyella jiangningensis	1379159	2015-09-21
UP000001485	Edwardsiella ictaluri (strain 93-146)	634503	2015-09-18
UP000022913	Enterobacter aerogenes UCI 15	1400138	2015-10-19
UP000000260	Cronobacter sakazakii (strain ATCC BAA-894) (Enterobacter sakazakii)	290339	2015-07-30
UP000000230	Enterobacter sp. (strain 638)	399742	2015-07-30
UP000000504	Moranella endobia (strain PCIT)	903503	2015-09-18
UP000011002	Enterobacteriaceae bacterium (strain FGI 57)	693444	2015-09-19
UP000008793	Erwinia billingiae (strain Eb661)	634500	2015-07-30
UP000007966	Pectobacterium atrosepticum (strain SCRI 1043 / ATCC BAA-672) (Erwinia carotovora subsp. atroseptica)	218491	2015-07-30
UP000001726	Erwinia tasmaniensis (strain DSM 17950 / Et1/99)	338565	2015-09-18
UP000001955	Shimwellia blattae (strain ATCC 29907 / DSM 4481 / JCM 1650 / NBRC 105725 / CDC 9005-74) (Escherichia blattae)	630626	2015-09-18
UP000006683	Ferrimonas balearica (strain DSM 9799 / CCM 4581 / PAT)	550540	2015-09-18
UP000005234	Frateuria aurantia (strain ATCC 33424 / DSM 6220 / NBRC 3245 / NCIMB 13370) (Acetobacter aurantius)	767434	2015-09-18
UP000030901	Frischella perrara	1267021	2015-09-21
UP000006908	Gallibacterium anatis (strain UMN179) (Pasteurella anatis)	1005058	2015-09-18
UP000019656	Gilliamella apicola	1196095	2015-09-20
UP000009282	Glaciecola nitratireducens (strain JCM 12485 / KCTC 12276 / FR1064)	1085623	2015-09-18
UP000011864	Paraglaciecola psychrophila 170	1129794	2015-09-19
UP000033732	Grimontia sp. AD028	1581149	2015-08-04
UP000032266	Gynuella sunshinyii YC6258	1445510	2015-09-21
UP000001022	Haemophilus ducreyi (strain 35000HP / ATCC 700724)	233412	2015-07-30
UP000006743	Haemophilus parasuis serovar 5 (strain SH0165)	557723	2015-07-30
UP000008543	Histophilus somni (strain 2336) (Haemophilus somnus)	228400	2015-09-18
UP000029986	Hafnia alvei FB1	1453496	2015-08-04
UP000000238	Hahella chejuensis (strain KCTC 2396)	349521	2015-07-30
UP000027249	Halomonas campaniensis	213554	2015-07-27
UP000008707	Halomonas elongata (strain ATCC 33173 / DSM 2581 / NBRC 15536 / NCIMB 2198 / 1H9)	768066	2015-09-18
UP000018258	Halomonas sp. A3H3	1346287	2015-10-25
UP000033642	Halomonas sp. S2151	579478	2015-08-04
UP000019442	Halorhodospira halochloris str. A	1354791	2015-09-20
UP000000647	Halorhodospira halophila (strain DSM 244 / SL1) (Ectothiorhodospira halophila (strain DSM 244 / SL1))	349124	2015-09-18
UP000009102	Halothiobacillus neapolitanus (strain ATCC 23641 / c2) (Thiobacillus neapolitanus)	555778	2015-09-18
UP000016900	Candidatus Pantoea carbekii	1235990	2015-07-27
UP000002334	Hamiltonella defensa subsp. Acyrthosiphon pisum (strain 5AT)	572265	2015-07-30
UP000001171	Idiomarina loihiensis (strain ATCC BAA-735 / DSM 15497 / L2-TR)	283942	2015-07-30
UP000034071	Kangiella geojedonensis	914150	2015-07-30
UP000001231	Kangiella koreensis (strain DSM 16069 / KCTC 12182 / SW-125)	523791	2015-09-18
UP000000265	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)	272620	2015-07-30
UP000035479	Kluyvera intermedia (Enterobacter intermedius)	61648	2015-09-21
UP000032430	Legionella fallonii LLAP-10	1212491	2015-09-21
UP000032803	Legionella hackeliae	449	2015-07-27
UP000001060	Legionella longbeachae serogroup 1 (strain NSW150)	661367	2015-09-18
UP000018838	Legionella oakridgensis ATCC 33761 = DSM 21215	1268635	2015-09-20
UP000000609	Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513)	272624	2015-07-30
UP000033651	Luteibacter yeojuensis	345309	2015-07-30
UP000012987	Mannheimia haemolytica M42548	1316932	2015-07-27
UP000000607	Mannheimia succiniciproducens (strain MBEL55E)	221988	2015-07-30
UP000005275	Marichromatium purpuratum 984	765910	2015-09-18
UP000000998	Marinobacter hydrocarbonoclasticus (strain ATCC 700491 / DSM 11845 / VT8)	351348	2015-07-30
UP000035081	Marinobacter salarius	1420917	2015-09-21
UP000011757	Marinobacter sp. BSs20148	490759	2015-08-04
UP000001062	Marinomonas mediterranea (strain ATCC 700492 / JCM 21426 / NBRC 103028 / MMB-1)	717774	2015-09-18
UP000001113	Marinomonas sp. (strain MWYL1)	400668	2015-09-18
UP000033747	Marinomonas sp. S3726	579484	2015-08-04
UP000033684	Methylococcaceae bacterium Sn10-6	1632867	2015-07-30
UP000006821	Methylococcus capsulatus (strain ATCC 33009 / NCIMB 11132 / Bath)	243233	2015-07-30
UP000005090	Methylomicrobium album BG8	686340	2015-09-18
UP000008315	Methylomicrobium alcaliphilum (strain DSM 19304 / NCIMB 14124 / VKM B-2133 / 20Z)	1091494	2015-07-30
UP000008888	Methylomonas methanica (strain MC09)	857087	2015-09-18
UP000009145	Methylophaga frappieri (strain ATCC BAA-2434 / DSM 25690 / JAM7)	754477	2015-09-18
UP000009144	Methylophaga nitratireducenticrescens (strain ATCC BAA-2433 / DSM 25689 / JAM1)	754476	2015-07-30
UP000000930	Moraxella catarrhalis (strain RH4)	749219	2015-09-18
UP000011834	Morganella morganii subsp. morganii KT	1124991	2015-09-28
UP000032438	Moritella viscosa	80854	2015-09-21
UP000001844	Nitrosococcus halophilus (strain Nc4)	472759	2015-09-18
UP000006838	Nitrosococcus oceani (strain ATCC 19707 / NCIMB 11848)	323261	2015-09-18
UP000007742	Oceanimonas sp. (strain GK1)	511062	2015-09-18
UP000032749	Oleispira antarctica RB-8	698738	2015-09-21
UP000001702	Pantoea ananatis (strain LMG 20103)	706191	2015-07-30
UP000001624	Pantoea sp. (strain At-9b)	592316	2015-07-30
UP000030307	Pantoea sp. PSNIH1	1484158	2015-07-27
UP000030310	Pantoea sp. PSNIH2	1484157	2015-07-27
UP000006631	Pantoea vagans (strain C9-1) (Pantoea agglomerans (strain C9-1))	712898	2015-09-25
UP000032303	Photobacterium gaetbulicola Gung47	658445	2015-09-21
UP000033633	Photobacterium halotolerans	265726	2015-07-30
UP000032448	Photobacterium iliopiscarium	56192	2015-08-04
UP000032479	Photobacterium leiognathi	553611	2015-10-19
UP000000593	Photobacterium profundum (Photobacterium sp. (strain SS9))	74109	2015-07-30
UP000002514	Photorhabdus luminescens subsp. laumondii (strain TT01)	243265	2015-07-30
UP000016901	Plautia stali symbiont	891974	2015-09-20
UP000029498	Pluralibacter gergoviae (Enterobacter gergoviae)	61647	2015-08-05
