accB	accC
crp	lsrA,lsrC,lsrD,lsrB,lsrF,lsrG
crp	lsrK
crp	malE,malF,malG
crp	malK,lamB
crp	malS
crp	malY
crp	manA
crp	manX,manY,manZ
crp	marB
crp	mdh
crp	melA,melB
crp	metK
crp	rimP,nusA,infB,rbfA,truB,rpsO,pnp
crp	mglB,mglA,mglC
crp	mhpA,mhpB,mhpC,mhpD,mhpF
crp	ynfK
crp	modA,modB,modC
crp	mpl
crp	mtlD
crp	murQ,murP
crp	nadC
crp	nagB,nagA,umpH
crp	nagE
crp	nanA,nanT,nanE,nanK,yhcH
crp	nanC,nanM
crp	nirB,nirD,nirC,cysG
crp	nrdA,nrdB,yfaE
crp	nupC
crp	nupG
crp	ompF
crp	envZ
crp	osmY
crp	pck
crp	aceE,lpd
crp	pncB
crp	ppdD,hofB,hofC
crp	ppiA
crp	preT,preA
crp	prpB,prpC,prpD,prpE
crp	psiE
crp	ptsG
crp	ptsH,ptsI,crr
crp	putP
crp	puuD,puuC,puuB
crp	rbsD,rbsC,rbsB,rbsK
crp	relA,mazF
crp	rhaB,rhaA,rhaD
crp	rhaT
crp	rmf
crp	rplM,rpsI
crp	rpoE,rseA,rseB,rseC
crp	rpoH
crp	rpsF,priB,rpsR,rplI
crp	sbmC
crp	sdhC,sdhD,sdhA,sdhB,sucA,sucD
crp	secB,gpsA
crp	serA
crp	serC
crp	sfsA,dksA
crp	sodA
crp	sodB
crp	sohB
crp	speC
crp	srlA,srlE,srlB,srlD,srlR
crp	sxy
crp	tdcB,tdcC,tdcD,tdcE,tdcF
crp	tnaC,tnaA,tnaB
crp	treB,treC
crp	trg
crp	trxA
crp	tsx
crp	ubiG
crp	ugpB,ugpA,ugpE,ugpC,ugpQ
crp	uhpT
crp	uidA,uidB,uidC
crp	ulaA,ulaB,ulaC,ulaD,ulaF
crp	uxaC,uxaA
crp	uxuA,uxuB
crp	xylA
crp	xylF,xylG,xylH
crp	yaeQ,arfB,nlpE
crp	ycdZ
crp	ychH
crp	yeiP
crp	yeiW
crp	yhfA
crp	yiaK,yiaL,yiaO,sgbH,sgbE
crp	yjiY
crp	ykgR
crp	zraS
csgD	csgB
csgD	csgE,csgF,csgG
csgD	flgM,flgN
csgD	fliA
csgD	fliE
csgD	fliF,fliG,fliH,fliJ
csgD	iraP
csgD	nlpA
csgD	pepD
csgD	yccJ
csgD	yccT
csgD	yhbT,yhbS
csiR	csiD,lhgO,gabD,gabT,gabP
cusR	cusB,cusA
cusR	cyoB,cyoC,cyoD,cyoE
cynR	cynS
cysB	cysD,cysN,cysC
cysB	cysJ,cysI,cysH
cysB	cysK
cysB	cysP,cysU,cysW,cysA,cysM
cysB	ssuE,ssuA,ssuD,ssuB
cysB	tauA,tauB,tauC
cysB	ybdN
cysB	yfbR
cytR	cdd
cytR	deoC,deoA,deoB,deoD
cytR	nupC
cytR	nupG
cytR	ppiA
cytR	rpoH
cytR	tsx
cytR	ycdZ
dcuR	dctA
dcuR	dcuB,fumB
dcuR	frdA,frdB,frdC,frdD
dhaR	dhaK,dhaL
dnaA	aldA
dnaA	dnaN,recF
dnaA	guaB,guaA
dnaA	nrdA,nrdB,yfaE
dnaA	rpoH
ebgR	ebgA
ecpR	flhD,flhC
ecpR	fliA
envY	ompF
evgA	acrD
evgA	emrK,emrY
evgA	evgS
evgA	gadE,mdtE,mdtF
evgA	safA
evgA	ydeP
evgA	yfdX,frc,oxc,yfdV,yfdE
exuR	exuT
exuR	lgoR
exuR	uxaC,uxaA
exuR	uxuA,uxuB
fabR	fabA
fabR	fabB
fadR	accA
fadR	accC
fadR	accD
fadR	fabA
fadR	fabB
fadR	fabH,fabD,fabG
fadR	fabI
fadR	fadB,fadA
fadR	fadE
fadR	fadH
fadR	fadI
fadR	fadM
fadR	uspA
fhlA	hycA,hycB,hycC,hycD,hycE,hycG,hycH,hycI
fhlA	hydN,hypF
fhlA	hyfB,hyfC,hyfE,hyfH,hyfI,hyfJ
fhlA	hypA,hypB,hypC,hypD,hypE
fis	acnB
fis	acs,yjcH,actP
fis	aldB
fis	bglG,bglF,bglB
fis	carA,carB
fis	cbpA,cbpM
fis	cyoB,cyoC,cyoD,cyoE
fis	deoC,deoA,deoB,deoD
fis	dmsA,dmsB,dmsC
fis	dps
fis	dusB
fis	fadB,fadA
fis	fumB
fis	gadA
fis	gadB,gadC
fis	glnA,glnL
fis	glnQ
fis	glpA,glpB,glpC
fis	glpT
fis	gltX
fis	grcA
fis	guaB,guaA
fis	gyrB
fis	hupA
fis	hupB
fis	hyaA,hyaB,hyaC,hyaD,hyaE,hyaF
fis	katE
fis	lpd
fis	malE,malF,malG
fis	marB
fis	mazF,mazG
fis	rimP,nusA,infB,rbfA,truB,rpsO,pnp
fis	mglA,mglC
fis	msrA
fis	mtlD
fis	nanA,nanT,nanE,nanK,yhcH
fis	narG,narH,narJ,narI
fis	narK
fis	ndh
fis	nirB,nirD,nirC,cysG
fis	nrdA,nrdB,yfaE
fis	nrfA,nrfB,nrfC,nrfD,nrfF
fis	nuoA,nuoB,nuoE,nuoF,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM,nuoN
fis	ogt
fis	osmE
fis	osmY
fis	patA
fis	pdxA,rsmA,apaG
fis	pflB
fis	ptsG
fis	pyrD
fis	queA
fis	rplM,rpsI
fis	sra
fis	tufB
fis	trg
fis	xylF,xylG,xylH
fis	yeaR
fliZ	csgB
fliZ	csgE,csgF,csgG
fliZ	flhD,flhC
fliZ	gadB,gadC
fliZ	gadE,mdtE,mdtF
fliZ	hdeA,hdeB,yhiD
fliZ	osmY
fnr	ackA
fnr	acnA
fnr	acrE
fnr	aer
fnr	aldA
fnr	aspA,dcuA
fnr	aspC
fnr	bcsZ
fnr	caiT,caiA,caiB,caiC,caiD,caiE
fnr	citC,citD,citE,citF,citX,citG
fnr	cydA,cydB
fnr	cydD,cydC
fnr	cyoB,cyoC,cyoD,cyoE
fnr	dcuB,fumB
fnr	dcuC
fnr	dcuS
fnr	dmsA,dmsB,dmsC
fnr	dppA,dppB,dppC,dppD
fnr	emrK,emrY
fnr	fdnH,fdnI
fnr	feoA,feoB,feoC
fnr	ybdZ,entF
fnr	fixA,fixB,fixX
fnr	focA,pflB
fnr	frdA,frdB,frdC,frdD
fnr	fumA,fumC
fnr	gadA
fnr	garP,garL,garK
fnr	gcvT,gcvH,gcvP
fnr	gdhA
fnr	glnD
fnr	glnK,amtB
fnr	glpA,glpB,glpC
fnr	glpT
fnr	gltB,gltD
fnr	gnd
fnr	grcA
fnr	hcp,hcr
