accB	accC
soxS	pgi
soxS	poxB
soxS	pqiA,pqiB
soxS	ptsG
soxS	ribA
soxS	sodA
soxS	tolC,ygiB,ygiC
soxS	ybjC,nfsA,rimK,ybjN
soxS	ompN
soxS	zinT
soxS	zwf
stpA	bglG,bglF,bglB
tdcA	tdcB,tdcC,tdcD,tdcE,tdcF
torR	gadA
torR	hdeA,hdeB,yhiD
torR	tnaC,tnaA,tnaB
torR	torC,torD
treR	treB,treC
trpR	aroH
trpR	aroL,yaiA,aroM
trpR	mtr
trpR	trpE,trpD,trpC,trpB,trpA
ttdR	ttdA,ttdB,ttdT
tyrR	aroF,tyrA
tyrR	aroG
tyrR	aroL,yaiA,aroM
tyrR	aroP
tyrR	folA
tyrR	mtr
tyrR	tyrB
tyrR	tyrP
uhpA	uhpT
uidR	uidA,uidB,uidC
ulaR	ulaA,ulaB,ulaC,ulaD,ulaF
ulaR	ulaG
uvrY	luxS
uvrY	uhpT
uvrY	ydeP
xapR	xapA,xapB
xylR	xylA
xylR	xylF,xylG,xylH
ydeO	gadE,mdtE,mdtF
ydeO	hyaA,hyaB,hyaC,hyaD,hyaE,hyaF
ydeO	safA
ydeO	slp,dctR
ydeO	yiiS,uspD
yedW	cusB,cusA
yedW	cyoB,cyoC,cyoD,cyoE
yefM	yoeB
yehT	yjiY
yiaJ	yiaK,yiaL,yiaO,sgbH,sgbE
yjjQ	flhD,flhC
yjjQ	ybhL
yjjQ	yfiR,yfiB
yjjQ	ymiA,yciX
yqhC	yqhD,dkgA
zntR	zntA
zraR	zraS
zur	ykgM,ykgO
zur	zinT
zur	znuA
zur	znuC,znuB
